"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"extension",0.40,0.00,0.40,15808,0.41,0.00,0.42,15808,0.40,0.00,0.40,15808
"fallthrough",0.25,0.00,0.25,5656,0.25,0.00,0.25,5656,0.26,0.00,0.27,5656
"fibonacci",15.82,1.54,17.38,2125808,16.03,1.53,17.58,2125808,16.05,1.56,17.63,2125808
"fmtLines",6.93,0.00,6.94,9048,6.93,0.00,6.94,9048,6.88,0.01,6.90,9048
"function-operator",6.38,0.05,6.44,85196,6.34,0.06,6.41,85196,6.31,0.07,6.39,85196
"functions",0.26,0.00,0.27,5684,0.26,0.00,0.26,5684,0.26,0.00,0.27,5684
"gccExtensions",0.36,0.00,0.37,15800,0.36,0.00,0.37,15800,0.36,0.00,0.37,15800
"genericUnion",0.40,0.00,0.41,6812,0.39,0.00,0.40,6812,0.40,0.00,0.41,6812
"globals",3.34,0.07,3.41,85248,3.32,0.08,3.41,85248,3.34,0.06,3.41,85248
"heap",14.10,0.04,14.16,32744,14.14,0.02,14.17,32744,14.20,0.02,14.22,32744
"hello",0.59,0.00,0.59,6304,0.57,0.00,0.57,6304,0.58,0.00,0.59,6304
"identFuncDeclarator",0.25,0.00,0.25,5656,0.26,0.00,0.26,5656,0.25,0.00,0.25,5656
"identity",5.26,0.07,5.34,85984,5.24,0.08,5.32,85984,5.27,0.04,5.33,85980
"identParamDeclarator",0.25,0.00,0.25,5680,0.26,0.00,0.26,5680,0.25,0.00,0.25,5680
"ifwhileCtl",0.69,0.00,0.69,6328,0.68,0.00,0.68,6324,0.69,0.00,0.69,6328
"init_once",0.37,0.00,0.37,5616,0.38,0.00,0.39,5616,0.38,0.00,0.38,5616
"KRfunctions",0.38,0.02,0.41,26168,0.39,0.02,0.41,26168,0.40,0.01,0.41,26168
"labelledExit",0.31,0.00,0.31,5656,0.30,0.00,0.31,5656,0.32,0.00,0.32,5656
"limits",0.75,0.00,0.76,5816,0.77,0.00,0.77,5816,0.78,0.00,0.78,5816
"literals",2.56,0.08,2.65,85132,2.62,0.07,2.70,85132,2.56,0.05,2.62,85048
"matrixSum",13.56,0.02,13.59,34692,13.62,0.02,13.65,34692,13.66,0.01,13.67,34692
"maybe",0.54,0.00,0.55,7956,0.56,0.00,0.56,7956,0.57,0.00,0.57,7956
"memberCtors",0.31,0.00,0.31,5664,0.32,0.00,0.32,5664,0.32,0.00,0.32,5664
"monitor",13.47,0.02,13.50,33284,13.56,0.02,13.59,33284,13.45,0.04,13.50,33284
"nested-types",0.42,0.00,0.42,6796,0.43,0.00,0.43,6796,0.42,0.00,0.42,6796
"numericConstants",0.25,0.00,0.25,5656,0.26,0.00,0.26,5656,0.24,0.00,0.25,5656
"operators",0.32,0.00,0.32,5660,0.30,0.00,0.31,5660,0.32,0.00,0.32,5660
"pingpong",6.98,0.00,6.99,8724,7.10,0.00,7.11,8724,6.94,0.00,6.94,8724
"polymorphism",0.53,0.00,0.53,14584,0.52,0.00,0.52,14584,0.52,0.00,0.52,14584
"preempt",15.76,0.04,15.81,32928,15.81,0.02,15.84,32928,15.89,0.02,15.92,32928
"prodcons",41.64,4.42,46.11,6388732,41.53,4.48,46.06,6388732,41.41,4.40,45.87,6388732
"quickSort",15.18,0.08,15.28,96404,15.34,0.10,15.45,96404,15.22,0.05,15.28,96404
"quoted_keyword",0.61,0.02,0.64,32260,0.64,0.01,0.66,32260,0.67,0.00,0.68,32260
"random",5.05,0.03,5.09,32728,5.12,0.04,5.16,32728,5.06,0.06,5.13,32728
"recurse",14.41,0.03,14.45,33028,14.36,0.06,14.43,33028,14.54,0.00,14.56,33028
"references",0.52,0.03,0.56,26248,0.50,0.02,0.53,26248,0.51,0.02,0.53,26248
"result",0.85,0.00,0.85,9812,0.85,0.00,0.85,9812,0.84,0.00,0.85,9812
"runningTotal",15.90,1.58,17.51,2125816,16.06,1.54,17.62,2125816,15.87,1.45,17.33,2125816
"self-assignment",0.28,0.00,0.29,5656,0.28,0.00,0.28,5656,0.29,0.00,0.29,5656
"shortCircuit",0.62,0.00,0.62,19880,0.62,0.00,0.63,19880,0.60,0.00,0.61,19880
"simpleGenericTriple",0.64,0.00,0.65,16880,0.66,0.01,0.67,16880,0.64,0.00,0.65,16880
"stdincludes",11.13,0.00,11.14,9508,11.04,0.00,11.05,9508,11.11,0.01,11.13,9508
"switch",0.31,0.00,0.32,5656,0.33,0.00,0.33,5656,0.34,0.00,0.34,5656
"sync",12.71,0.05,12.77,41260,12.75,0.05,12.81,41260,12.96,0.05,13.03,41260
"thread",14.07,0.06,14.14,86956,14.08,0.06,14.16,86956,14.17,0.06,14.24,86956
"tupleCast",0.26,0.00,0.27,5604,0.26,0.00,0.26,5604,0.26,0.00,0.26,5604
"tupleMember",0.61,0.05,0.67,45604,0.61,0.03,0.65,45604,0.60,0.04,0.66,45604
"tuplePolymorphism",0.46,0.02,0.49,41336,0.45,0.02,0.48,41336,0.45,0.03,0.48,41336
"tupleVariadic",2.56,0.04,2.60,32940,2.54,0.04,2.58,32940,2.57,0.04,2.61,32940
"typedefRedef",0.24,0.00,0.25,5656,0.26,0.00,0.26,5656,0.26,0.00,0.26,5656
"typeof",0.25,0.00,0.25,5656,0.26,0.00,0.26,5656,0.24,0.00,0.25,5656
"user_literals",2.70,0.05,2.76,85204,2.74,0.05,2.80,85204,2.75,0.08,2.85,85204
"variableDeclarator",0.26,0.00,0.26,5732,0.25,0.00,0.26,5732,0.25,0.00,0.26,5732
"vector",593.36,18.57,612.35,6538516,598.19,18.53,617.16,6538516,600.39,19.10,619.94,6538516
"voidPtr",0.25,0.00,0.25,5656,0.25,0.00,0.25,5656,0.25,0.00,0.25,5656
"wait",17.85,0.03,17.89,33276,17.93,0.01,17.95,33276,17.84,0.03,17.88,33276
"when",16.34,0.06,16.41,86836,16.27,0.05,16.33,86836,16.12,0.08,16.22,86836
"with-statement",0.42,0.00,0.42,6800,0.42,0.00,0.42,6800,0.42,0.00,0.42,6800
