"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"matrixSum",1.43,0.01,1.44,25640,1.45,0.00,1.45,25640,1.46,0.00,1.47,25640
"maybe",0.08,0.00,0.09,5288,0.08,0.00,0.09,5288,0.09,0.00,0.09,5288
"memberCtors",0.08,0.00,0.08,4984,0.08,0.00,0.08,4984,0.07,0.00,0.07,4984
"minmax",121.86,1.71,123.63,1284688,121.62,1.80,123.49,1284688,121.56,1.72,123.34,1284688
"monitor",1.44,0.01,1.46,25640,1.44,0.00,1.45,25640,1.45,0.01,1.46,25640
"multi-monitor",8.98,0.70,9.69,880568,9.07,0.65,9.73,880568,9.02,0.74,9.76,880568
"nested-types",0.08,0.00,0.08,5168,0.07,0.00,0.07,5168,0.07,0.00,0.08,5168
"numericConstants",0.06,0.00,0.06,4872,0.06,0.00,0.06,4872,0.06,0.00,0.06,4872
"operators",0.06,0.00,0.07,4980,0.06,0.00,0.07,4980,0.06,0.00,0.07,4980
"pingpong",0.66,0.00,0.66,7108,0.66,0.00,0.66,7108,0.66,0.00,0.66,7108
"preempt",1.40,0.00,1.41,7104,1.41,0.00,1.41,7104,1.40,0.00,1.41,7104
"prodcons",3.10,0.06,3.17,92864,3.16,0.06,3.22,92864,3.14,0.06,3.20,92864
"quickSort",1.62,0.00,1.63,12392,1.62,0.00,1.62,12392,1.64,0.00,1.64,12392
"quoted_keyword",0.29,0.00,0.30,24264,0.28,0.02,0.30,24264,0.28,0.01,0.29,24264
"random",4.26,0.02,4.28,25088,4.28,0.00,4.29,25088,4.30,0.01,4.32,25088
"recurse",1.60,0.01,1.61,25012,1.62,0.00,1.63,25012,1.59,0.00,1.60,25012
"references",0.09,0.00,0.09,4880,0.09,0.00,0.09,4880,0.09,0.00,0.09,4880
"result",0.12,0.00,0.12,5892,0.12,0.00,0.12,5892,0.11,0.00,0.11,5892
"runningTotal",3.72,0.24,3.97,357728,3.71,0.24,3.95,357728,3.66,0.31,3.98,357728
"searchsort",117.34,2.68,120.09,1896692,118.23,2.96,121.25,1896692,118.20,2.77,121.03,1896692
"self-assignment",0.07,0.00,0.07,4976,0.06,0.00,0.07,4976,0.06,0.00,0.07,4976
"shortCircuit",0.29,0.01,0.30,23284,0.30,0.00,0.30,23284,0.28,0.01,0.30,23284
"simpleGenericTriple",0.09,0.00,0.09,5268,0.08,0.00,0.08,5268,0.08,0.00,0.08,5268
"statement",12.22,0.16,12.39,143436,12.21,0.17,12.39,143436,12.23,0.13,12.37,143436
"stdincludes",1.42,0.00,1.42,6316,1.35,0.00,1.36,6316,1.37,0.00,1.37,6316
"sum",25.80,0.53,26.35,357824,25.92,0.36,26.30,357824,25.84,0.44,26.30,357824
"swap",189.77,2.24,192.11,1577328,189.91,2.25,192.26,1577328,190.05,2.32,192.47,1577328
"switch",0.06,0.00,0.06,4872,0.06,0.00,0.06,4872,0.06,0.00,0.07,4872
"sync",0.16,0.00,0.17,4976,0.18,0.00,0.18,4976,0.17,0.00,0.17,4976
"thread",2.24,0.02,2.27,52632,2.21,0.03,2.25,52632,2.24,0.02,2.27,52632
"time",17.44,1.62,19.07,879564,17.38,0.68,18.08,879564,17.38,0.68,18.07,879564
"tupleAssign",53.30,1.51,54.84,1619524,53.21,1.60,54.84,1619524,53.22,1.57,54.82,1619524
"tupleCast",0.06,0.00,0.06,4872,0.06,0.00,0.07,4872,0.06,0.00,0.06,4872
"tupleFunction",0.07,0.00,0.07,4884,0.06,0.00,0.07,4884,0.07,0.00,0.08,4884
"tupleMember",0.07,0.00,0.07,4880,0.07,0.00,0.07,4880,0.07,0.00,0.07,4880
"tuplePolymorphism",0.06,0.00,0.07,4888,0.08,0.00,0.08,4888,0.07,0.00,0.08,4888
"tupleVariadic",0.34,0.00,0.34,5348,0.33,0.00,0.33,5348,0.34,0.00,0.34,5348
"typedefRedef",0.06,0.00,0.06,4872,0.06,0.00,0.07,4872,0.06,0.00,0.06,4872
"typeof",0.06,0.00,0.06,4872,0.06,0.00,0.06,4872,0.06,0.00,0.06,4872
"user_literals",2.64,0.04,2.69,51024,2.67,0.02,2.70,51024,2.67,0.04,2.71,51024
"variableDeclarator",0.07,0.00,0.07,4968,0.06,0.00,0.07,4968,0.06,0.00,0.06,4968
"vector",30.72,0.21,30.95,153760,30.70,0.27,30.99,153760,30.65,0.26,30.93,153760
"voidPtr",0.06,0.00,0.07,4872,0.06,0.00,0.06,4872,0.06,0.00,0.06,4872
"wait",1.69,0.00,1.70,8352,1.68,0.00,1.68,8352,1.68,0.00,1.69,8352
"when",4.31,0.03,4.35,52644,4.31,0.05,4.37,52644,4.31,0.03,4.34,52644
"with-statement",0.07,0.00,0.08,5172,0.08,0.00,0.08,5172,0.08,0.00,0.08,5172
