"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"numericConstants",0.25,0.00,0.25,5700,0.27,0.00,0.27,5700,0.26,0.00,0.27,5700
"operators",0.33,0.00,0.33,5704,0.32,0.00,0.32,5704,0.33,0.00,0.33,5704
"pingpong",7.11,0.00,7.12,8768,7.10,0.00,7.11,8768,7.11,0.00,7.11,8768
"polymorphism",0.54,0.01,0.55,14628,0.54,0.01,0.55,14624,0.55,0.00,0.55,14628
"preempt",16.59,0.02,16.62,32972,16.12,0.02,16.15,32972,16.14,0.04,16.19,32972
"prodcons",40.92,4.58,45.56,6388660,41.23,4.29,45.57,6388660,41.04,4.36,45.45,6388660
"quickSort",15.58,0.06,15.65,96448,15.40,0.06,15.47,96448,15.34,0.09,15.44,96448
"quoted_keyword",0.66,0.02,0.68,32040,0.66,0.01,0.67,32036,0.65,0.00,0.66,32040
"random",5.06,0.02,5.09,32400,5.07,0.02,5.09,32400,5.07,0.04,5.12,32400
"rational",22.84,0.16,23.02,108516,22.97,0.17,23.16,108516,22.88,0.15,23.05,108516
"recurse",14.74,0.02,14.77,33072,14.82,0.03,14.86,33072,15.06,0.02,15.09,33104
"references",0.52,0.02,0.55,26292,0.53,0.01,0.54,26292,0.54,0.00,0.55,26292
"result",0.84,0.00,0.85,9844,0.84,0.00,0.85,9844,0.85,0.00,0.86,9844
"runningTotal",15.87,1.47,17.36,2125840,15.97,1.58,17.57,2125840,15.78,1.54,17.35,2125840
"self-assignment",0.29,0.00,0.30,5700,0.31,0.00,0.31,5700,0.30,0.00,0.30,5700
"shortCircuit",0.62,0.00,0.63,19864,0.66,0.00,0.66,19864,0.63,0.00,0.64,19864
"simpleGenericTriple",0.63,0.00,0.64,16660,0.64,0.00,0.64,16660,0.66,0.00,0.67,16660
"stdincludes",11.92,0.00,11.92,9552,11.72,0.00,11.73,9552,11.86,0.00,11.86,9552
"switch",0.34,0.00,0.35,5700,0.33,0.00,0.33,5700,0.33,0.00,0.33,5700
"sync",13.36,0.06,13.43,41304,13.45,0.06,13.52,41304,13.41,0.05,13.47,41304
"thread",14.62,0.08,14.71,86236,14.32,0.09,14.42,86236,14.82,0.06,14.89,86236
"tupleCast",0.26,0.01,0.27,5648,0.27,0.00,0.27,5648,0.26,0.00,0.26,5648
"tupleMember",0.64,0.04,0.68,45648,0.62,0.04,0.67,45648,0.62,0.02,0.65,45648
"tuplePolymorphism",0.49,0.01,0.51,41380,0.47,0.02,0.49,41380,0.48,0.02,0.51,41380
"tupleVariadic",2.76,0.03,2.80,32984,2.64,0.03,2.67,32984,2.82,0.01,2.83,32984
"typedefRedef",0.26,0.00,0.26,5700,0.26,0.00,0.26,5700,0.26,0.00,0.26,5700
"typeof",0.26,0.00,0.26,5700,0.26,0.00,0.26,5700,0.27,0.00,0.27,5700
"user_literals",2.59,0.05,2.65,84468,2.68,0.07,2.75,84468,2.65,0.05,2.70,84468
"variableDeclarator",0.27,0.00,0.27,5776,0.27,0.00,0.27,5776,0.26,0.00,0.26,5776
"vector",585.99,27.37,613.78,6538232,587.72,25.26,613.34,6538232,589.71,24.84,614.90,6538232
"voidPtr",0.27,0.00,0.27,5700,0.26,0.00,0.26,5700,0.25,0.00,0.25,5700
"wait",18.23,0.02,18.27,33320,18.31,0.03,18.35,33320,18.48,0.04,18.54,33320
"when",16.67,0.06,16.75,86088,16.56,0.05,16.62,86088,16.38,0.06,16.46,86088
"with-statement",0.42,0.00,0.42,6844,0.44,0.00,0.44,6844,0.44,0.00,0.44,6844
