"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"extension",0.02,0.00,0.02,4768,0.02,0.00,0.02,4768,0.02,0.00,0.02,4768
"fallthrough",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"fibonacci",0.34,0.00,0.35,10676,0.34,0.00,0.34,10676,0.32,0.01,0.33,10676
"fmtLines",0.31,0.00,0.31,6236,0.33,0.00,0.34,6236,0.31,0.00,0.31,6236
"forall",0.26,0.00,0.27,15164,0.26,0.00,0.26,15164,0.27,0.00,0.27,15164
"forctrl",0.16,0.00,0.16,14516,0.15,0.00,0.16,14516,0.14,0.02,0.16,14516
"fstream_test",0.22,0.00,0.23,13160,0.22,0.00,0.23,13160,0.23,0.00,0.23,13156
"function-operator",0.32,0.00,0.33,9036,0.32,0.00,0.32,9036,0.31,0.00,0.32,9036
"functions",0.01,0.00,0.01,4508,0.01,0.00,0.01,4508,0.01,0.00,0.01,4508
"gccExtensions",0.01,0.00,0.02,4752,0.01,0.00,0.02,4752,0.02,0.00,0.02,4752
"genericUnion",0.02,0.00,0.02,4512,0.02,0.00,0.02,4512,0.01,0.00,0.02,4512
"globals",0.15,0.00,0.15,7040,0.15,0.00,0.15,7040,0.15,0.00,0.15,7040
"gmp",0.48,0.00,0.48,11164,0.48,0.00,0.48,11164,0.49,0.00,0.49,11164
"heap",0.66,0.00,0.66,6700,0.66,0.00,0.66,6700,0.65,0.00,0.65,6700
"hello",0.06,0.00,0.06,5488,0.06,0.00,0.06,5488,0.06,0.00,0.06,5488
"identFuncDeclarator",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"identity",0.43,0.00,0.43,7988,0.43,0.00,0.43,7988,0.42,0.00,0.43,7988
"identParamDeclarator",0.01,0.00,0.01,4504,0.01,0.00,0.01,4504,0.01,0.00,0.01,4504
"ifwhileCtl",0.06,0.00,0.06,5540,0.06,0.00,0.06,5540,0.06,0.00,0.06,5540
"init_once",0.02,0.00,0.02,4580,0.02,0.00,0.02,4580,0.02,0.00,0.03,4580
"io2",3.22,0.06,3.29,78580,3.28,0.04,3.33,78580,3.22,0.06,3.28,78580
"KRfunctions",0.01,0.00,0.01,4492,0.01,0.00,0.01,4492,0.01,0.00,0.01,4492
"labelledExit",0.02,0.00,0.02,4480,0.01,0.00,0.02,4480,0.02,0.00,0.02,4480
"limits",0.06,0.00,0.07,4680,0.06,0.00,0.07,4680,0.06,0.00,0.07,4680
"literals",0.15,0.00,0.15,6944,0.15,0.00,0.15,6944,0.15,0.00,0.15,6944
"math1",1.52,0.01,1.54,35864,1.52,0.01,1.54,35864,1.52,0.01,1.53,35864
"math2",2.00,0.00,2.02,25464,2.04,0.02,2.06,25464,2.04,0.00,2.05,25464
"math3",1.45,0.03,1.48,24636,1.44,0.00,1.45,24636,1.47,0.00,1.48,24636
"math4",1.60,0.00,1.61,15484,1.60,0.00,1.60,15484,1.60,0.00,1.60,15484
"matrixSum",0.65,0.00,0.65,8120,0.64,0.00,0.64,8120,0.64,0.00,0.64,8120
"maybe",0.02,0.00,0.02,4516,0.02,0.00,0.02,4512,0.02,0.00,0.02,4516
"memberCtors",0.02,0.00,0.02,4488,0.02,0.00,0.02,4488,0.02,0.00,0.02,4488
"minmax",1.12,0.00,1.13,15308,1.13,0.00,1.14,15308,1.12,0.00,1.13,15308
"monitor",0.64,0.00,0.64,8064,0.63,0.00,0.63,8064,0.63,0.00,0.63,8064
"multi-monitor",0.68,0.00,0.68,14960,0.67,0.00,0.68,14960,0.67,0.00,0.67,14960
"nested-types",0.02,0.00,0.02,4496,0.01,0.00,0.01,4496,0.02,0.00,0.02,4496
"numericConstants",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"operators",0.01,0.00,0.02,4484,0.02,0.00,0.02,4484,0.01,0.00,0.02,4484
"pingpong",0.31,0.00,0.31,6428,0.31,0.00,0.31,6428,0.31,0.00,0.31,6428
"polymorphism",0.04,0.00,0.04,6424,0.04,0.00,0.04,6424,0.03,0.00,0.04,6424
"preempt",0.73,0.00,0.73,6824,0.73,0.00,0.73,6824,0.73,0.00,0.73,6824
"prodcons",0.59,0.00,0.59,9936,0.58,0.00,0.59,9936,0.59,0.00,0.60,9936
"quickSort",0.68,0.00,0.69,7896,0.68,0.00,0.68,7896,0.67,0.00,0.67,7896
"quoted_keyword",0.04,0.00,0.04,6440,0.03,0.00,0.04,6440,0.03,0.00,0.04,6440
"random",0.34,0.00,0.34,7472,0.34,0.00,0.34,7472,0.34,0.00,0.34,7472
"recurse",0.68,0.00,0.69,8216,0.68,0.00,0.68,8216,0.69,0.00,0.70,8216
"references",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"result",0.02,0.00,0.03,4696,0.03,0.00,0.03,4696,0.03,0.00,0.03,4696
"runningTotal",0.33,0.00,0.34,10672,0.34,0.00,0.34,10672,0.34,0.00,0.34,10672
"searchsort",1.14,0.00,1.15,18644,1.14,0.00,1.14,18644,1.14,0.00,1.14,18644
"self-assignment",0.01,0.00,0.02,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"shortCircuit",0.04,0.00,0.04,6132,0.04,0.00,0.04,6132,0.04,0.00,0.04,6132
"simpleGenericTriple",0.02,0.00,0.02,4536,0.02,0.00,0.02,4536,0.02,0.00,0.02,4536
"statement",0.95,0.00,0.95,11184,0.95,0.00,0.95,11184,0.95,0.00,0.96,11184
"stdincludes",0.76,0.00,0.77,6900,0.77,0.00,0.77,6900,0.77,0.00,0.77,6900
"sum",3.82,0.03,3.86,28556,3.74,0.01,3.76,28556,3.73,0.02,3.75,28556
"swap",1.48,0.00,1.49,16640,1.49,0.00,1.49,16640,1.49,0.00,1.49,16640
"switch",0.02,0.00,0.02,4480,0.02,0.00,0.02,4480,0.02,0.00,0.02,4480
"sync",0.09,0.00,0.09,4844,0.09,0.00,0.09,4844,0.10,0.00,0.10,4844
"thread",0.65,0.00,0.66,8936,0.65,0.00,0.66,8936,0.66,0.00,0.66,8936
"time",0.40,0.00,0.41,13612,0.40,0.00,0.41,13612,0.40,0.00,0.40,13612
"tupleAssign",0.59,0.00,0.59,15724,0.60,0.00,0.60,15724,0.58,0.01,0.59,15724
"tupleCast",0.01,0.00,0.01,4508,0.01,0.00,0.01,4508,0.01,0.00,0.01,4508
"tupleFunction",0.02,0.00,0.02,4516,0.02,0.00,0.02,4516,0.02,0.00,0.02,4516
"tupleMember",0.02,0.00,0.02,4536,0.02,0.00,0.02,4536,0.02,0.00,0.02,4536
"tuplePolymorphism",0.02,0.00,0.02,4612,0.02,0.00,0.02,4612,0.02,0.00,0.02,4612
"tupleVariadic",0.11,0.00,0.11,5232,0.12,0.00,0.12,5232,0.11,0.00,0.11,5232
"typedefRedef",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"typeof",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"user_literals",0.15,0.00,0.15,7052,0.15,0.00,0.15,7052,0.15,0.00,0.15,7052
"variableDeclarator",0.01,0.00,0.01,4572,0.01,0.00,0.01,4572,0.01,0.00,0.01,4572
"vector",0.62,0.00,0.62,9600,0.64,0.00,0.64,9600,0.62,0.00,0.62,9600
"voidPtr",0.01,0.00,0.01,4480,0.01,0.00,0.01,4480,0.01,0.00,0.01,4480
"wait",0.84,0.00,0.84,7832,0.83,0.00,0.84,7832,0.85,0.00,0.85,7832
"when",0.74,0.00,0.75,9028,0.75,0.00,0.75,9028,0.75,0.00,0.76,9028
"with-statement",0.02,0.00,0.02,4500,0.02,0.00,0.02,4500,0.02,0.00,0.02,4500
