"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"fmtLines",0.44,0.00,0.44,6012,0.46,0.00,0.47,6012,0.50,0.00,0.51,6012
"forall",0.58,0.00,0.59,21920,0.59,0.00,0.59,21920,0.59,0.00,0.60,21920
"forctrl",0.34,0.00,0.35,13568,0.35,0.00,0.36,13568,0.34,0.00,0.34,13568
"fstream_test",0.81,0.03,0.85,38848,0.82,0.00,0.82,38848,0.83,0.00,0.83,38848
"function-operator",0.47,0.00,0.48,8392,0.48,0.00,0.48,8392,0.47,0.00,0.47,8392
"functions",0.02,0.00,0.02,4476,0.02,0.00,0.02,4476,0.02,0.00,0.02,4476
"gccExtensions",0.02,0.00,0.03,4852,0.02,0.00,0.03,4852,0.02,0.00,0.03,4852
"genericUnion",0.02,0.00,0.02,4480,0.02,0.00,0.02,4480,0.02,0.00,0.03,4480
"globals",0.25,0.00,0.26,6452,0.28,0.00,0.28,6452,0.26,0.00,0.26,6452
"gmp",0.98,0.00,0.99,12552,0.96,0.01,0.98,12552,0.98,0.00,0.98,12552
"heap",0.93,0.00,0.93,6232,0.93,0.00,0.93,6232,0.99,0.00,0.99,6232
"hello",0.10,0.00,0.11,5636,0.10,0.00,0.10,5636,0.10,0.00,0.11,5636
"identFuncDeclarator",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"identity",0.49,0.00,0.49,6992,0.49,0.00,0.49,6992,0.49,0.00,0.49,6992
"identParamDeclarator",0.02,0.00,0.02,4476,0.02,0.00,0.02,4476,0.02,0.00,0.02,4476
"ifwhileCtl",0.12,0.00,0.12,5664,0.12,0.00,0.12,5664,0.11,0.00,0.12,5664
"init_once",0.03,0.00,0.03,4600,0.03,0.00,0.03,4600,0.03,0.00,0.03,4600
"io2",11.38,0.07,11.46,103656,11.31,0.12,11.44,103656,11.35,0.13,11.49,103656
"KRfunctions",0.02,0.00,0.02,4460,0.02,0.00,0.02,4460,0.02,0.00,0.02,4460
"labelledExit",0.02,0.00,0.02,4452,0.02,0.00,0.03,4452,0.02,0.00,0.03,4452
"limits",0.09,0.00,0.09,4604,0.09,0.00,0.10,4608,0.09,0.00,0.09,4608
"literals",0.24,0.00,0.24,6320,0.24,0.00,0.24,6320,0.24,0.00,0.24,6320
"math1",3.92,0.04,3.98,46696,3.95,0.03,3.99,46696,3.94,0.02,3.98,46696
"math2",5.73,0.03,5.77,27884,5.76,0.02,5.78,27872,5.73,0.01,5.75,27716
"math3",4.17,0.02,4.20,27248,4.07,0.02,4.10,27240,4.10,0.02,4.13,27392
"math4",4.13,0.01,4.15,14912,4.12,0.01,4.13,14944,4.11,0.02,4.14,14912
"matrixSum",0.91,0.00,0.91,7148,0.92,0.00,0.92,7148,0.91,0.00,0.91,7148
"maybe",0.04,0.00,0.04,4484,0.04,0.00,0.04,4484,0.04,0.00,0.04,4484
"memberCtors",0.02,0.00,0.02,4460,0.02,0.00,0.03,4460,0.02,0.00,0.02,4460
"minmax",3.07,0.01,3.09,16848,3.13,0.01,3.14,16848,3.10,0.00,3.11,16848
"monitor",0.93,0.00,0.93,7148,0.91,0.00,0.91,7148,0.90,0.00,0.90,7148
"multi-monitor",1.02,0.00,1.02,13000,1.01,0.00,1.02,13000,1.03,0.01,1.04,13000
"nested-types",0.02,0.00,0.02,4464,0.02,0.00,0.02,4464,0.02,0.00,0.02,4464
"numericConstants",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"operators",0.02,0.00,0.03,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"pingpong",0.44,0.00,0.44,6380,0.46,0.00,0.46,6380,0.44,0.00,0.44,6380
"polymorphism",0.08,0.00,0.08,9752,0.08,0.00,0.08,9752,0.08,0.00,0.08,9752
"preempt",1.06,0.00,1.06,6496,1.06,0.00,1.06,6496,1.04,0.00,1.05,6496
"prodcons",0.86,0.00,0.86,8776,0.86,0.00,0.86,8776,0.86,0.00,0.87,8776
"quickSort",1.01,0.00,1.01,8616,1.01,0.00,1.01,8616,1.00,0.00,1.01,8616
"quoted_keyword",0.06,0.00,0.06,5744,0.06,0.00,0.06,5744,0.06,0.00,0.06,5744
"random",0.53,0.00,0.53,6528,0.53,0.00,0.53,6528,0.52,0.00,0.53,6528
"recurse",0.98,0.00,0.99,7168,1.01,0.00,1.01,7168,0.99,0.00,1.00,7168
"references",0.04,0.00,0.04,4616,0.04,0.00,0.04,4616,0.04,0.00,0.04,4616
"result",0.05,0.00,0.06,4644,0.06,0.00,0.06,4644,0.05,0.00,0.05,4644
"runningTotal",0.50,0.00,0.51,9172,0.50,0.00,0.50,9172,0.50,0.00,0.50,9172
"searchsort",1.93,0.00,1.94,15308,1.94,0.00,1.94,15308,1.93,0.00,1.93,15308
"self-assignment",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"shortCircuit",0.06,0.00,0.07,5524,0.06,0.00,0.07,5524,0.06,0.00,0.07,5524
"simpleGenericTriple",0.03,0.00,0.03,4468,0.03,0.00,0.03,4468,0.03,0.00,0.03,4468
"statement",1.52,0.00,1.53,10560,1.52,0.00,1.52,10560,1.52,0.00,1.52,10560
"stdincludes",1.09,0.00,1.09,6300,1.09,0.00,1.09,6300,1.08,0.00,1.08,6300
"sum",23.79,0.84,24.64,335244,23.91,0.76,24.69,335252,23.68,0.87,24.57,335244
"swap",3.49,0.00,3.49,15420,3.52,0.00,3.53,15420,3.47,0.01,3.49,15420
"switch",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"sync",0.13,0.00,0.13,4708,0.13,0.00,0.13,4708,0.13,0.00,0.13,4708
"thread",0.95,0.00,0.95,7968,0.94,0.00,0.95,7968,0.95,0.00,0.96,7968
"time",0.90,0.00,0.91,19204,0.90,0.00,0.90,19204,0.89,0.00,0.90,19204
"tupleAssign",2.35,0.03,2.39,41640,2.34,0.04,2.38,41640,2.37,0.02,2.40,41640
"tupleCast",0.02,0.00,0.02,4476,0.02,0.00,0.02,4476,0.02,0.00,0.02,4476
"tupleFunction",0.02,0.00,0.03,4480,0.02,0.00,0.03,4484,0.02,0.00,0.03,4484
"tupleMember",0.02,0.00,0.02,4496,0.02,0.00,0.02,4496,0.02,0.00,0.02,4496
"tuplePolymorphism",0.02,0.00,0.03,4616,0.02,0.00,0.03,4616,0.03,0.00,0.03,4616
"tupleVariadic",0.16,0.00,0.16,4988,0.17,0.00,0.17,4988,0.16,0.00,0.16,4988
"typedefRedef",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"typeof",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"user_literals",0.26,0.00,0.26,6376,0.26,0.00,0.26,6376,0.25,0.00,0.26,6376
"variableDeclarator",0.02,0.00,0.02,4528,0.02,0.00,0.02,4528,0.02,0.00,0.02,4528
"vector",1.87,0.01,1.88,12400,1.88,0.00,1.89,12400,1.89,0.00,1.90,12400
"voidPtr",0.02,0.00,0.02,4452,0.02,0.00,0.02,4452,0.02,0.00,0.02,4452
"wait",1.20,0.00,1.20,7548,1.19,0.00,1.20,7548,1.21,0.00,1.21,7548
"when",1.09,0.00,1.09,8100,1.09,0.00,1.10,8100,1.09,0.00,1.10,8100
"with-statement",0.02,0.00,0.02,4468,0.02,0.00,0.02,4468,0.02,0.00,0.02,4468
