"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"sum",3.79,0.06,3.86,97516,3.72,0.08,3.81,97516,3.76,0.06,3.82,97516
"swap",35.08,0.48,35.58,280424,34.77,0.43,35.23,280424,34.74,0.45,35.22,280424
"switch",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"sync",0.11,0.00,0.11,4872,0.11,0.00,0.11,4872,0.11,0.00,0.11,4872
"thread",0.94,0.00,0.94,19264,0.93,0.02,0.95,19264,0.95,0.01,0.96,19264
"time",2.96,0.14,3.10,190796,2.92,0.16,3.09,190796,2.96,0.14,3.11,190796
"tupleAssign",4.63,0.12,4.76,136004,4.62,0.15,4.78,136004,4.63,0.13,4.77,136004
"tupleCast",0.03,0.00,0.03,4744,0.02,0.00,0.03,4744,0.02,0.00,0.03,4744
"tupleFunction",0.03,0.00,0.03,4752,0.03,0.00,0.03,4752,0.03,0.00,0.03,4752
"tupleMember",0.03,0.00,0.03,4752,0.03,0.00,0.03,4752,0.03,0.00,0.03,4752
"tuplePolymorphism",0.03,0.00,0.03,4756,0.03,0.00,0.03,4756,0.03,0.00,0.03,4756
"tupleVariadic",0.17,0.00,0.17,5932,0.16,0.00,0.17,5932,0.17,0.00,0.17,5932
"typedefRedef",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.02,0.00,0.03,4744
"typeof",0.02,0.00,0.03,4744,0.03,0.00,0.03,4744,0.03,0.00,0.03,4744
"user_literals",0.67,0.01,0.69,17364,0.69,0.00,0.70,17364,0.69,0.00,0.70,17364
"variableDeclarator",0.03,0.00,0.03,4836,0.03,0.00,0.03,4836,0.03,0.00,0.03,4836
"vector",2.75,0.00,2.76,20884,2.74,0.01,2.76,20884,2.71,0.02,2.73,20884
"voidPtr",0.03,0.00,0.03,4744,0.03,0.00,0.03,4744,0.02,0.00,0.03,4744
"wait",0.98,0.00,0.98,8156,0.97,0.00,0.97,8156,0.96,0.00,0.97,8156
"when",1.46,0.00,1.47,19376,1.45,0.00,1.46,19376,1.47,0.00,1.48,19376
"with-statement",0.04,0.00,0.04,4912,0.03,0.00,0.04,4912,0.04,0.00,0.04,4912
