"test","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)","user(s)","sys(s)","wall(s)","max-mem(KB)"
"identParamDeclarator",0.03,0.00,0.04,5644,0.04,0.00,0.04,5644,0.03,0.00,0.04,5644
"ifwhileCtl",0.10,0.00,0.10,5996,0.10,0.00,0.10,5996,0.10,0.00,0.10,5996
"init_once",0.05,0.00,0.06,5760,0.06,0.00,0.06,5760,0.05,0.00,0.06,5760
"io1",1.14,0.11,1.26,187464,1.14,0.10,1.25,187464,1.12,0.13,1.26,187464
"io2",3.08,0.31,3.40,515576,3.08,0.30,3.39,515576,3.09,0.31,3.41,515572
"KRfunctions",0.04,0.00,0.04,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"labelledExit",0.04,0.00,0.04,5576,0.04,0.00,0.04,5576,0.04,0.00,0.05,5576
"limits",0.17,0.00,0.17,5732,0.17,0.00,0.17,5732,0.17,0.00,0.17,5732
"literals",0.23,0.00,0.23,11604,0.22,0.00,0.23,11604,0.22,0.00,0.23,11604
"math1",1.76,0.11,1.88,185952,1.76,0.10,1.88,185952,1.78,0.09,1.88,185952
"math2",2.38,0.10,2.49,127640,2.37,0.10,2.48,127640,2.39,0.10,2.49,127640
"math3",1.80,0.06,1.87,126932,1.81,0.06,1.87,126932,1.80,0.06,1.87,126932
"math4",2.11,0.04,2.15,58668,2.10,0.05,2.15,58668,2.14,0.02,2.17,58668
"matrixSum",1.77,0.04,1.82,11780,1.78,0.04,1.82,11780,1.78,0.02,1.81,11780
"maybe",0.05,0.00,0.05,5652,0.05,0.00,0.05,5652,0.05,0.00,0.05,5652
"memberCtors",0.04,0.00,0.04,5672,0.04,0.00,0.04,5672,0.04,0.00,0.04,5672
"minmax",1.35,0.05,1.40,58428,1.35,0.04,1.40,58428,1.36,0.03,1.40,58428
"monitor",1.76,0.03,1.79,11748,1.77,0.01,1.79,11748,1.76,0.03,1.79,11748
"multi-monitor",1.80,0.07,1.88,57608,1.80,0.07,1.88,57608,1.80,0.08,1.88,57608
"nested-types",0.04,0.00,0.04,5624,0.03,0.00,0.04,5616,0.03,0.00,0.04,5624
"numericConstants",0.03,0.00,0.03,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"operators",0.04,0.00,0.04,5576,0.04,0.00,0.04,5576,0.04,0.00,0.04,5576
"pingpong",0.84,0.00,0.85,9036,0.85,0.00,0.85,9036,0.84,0.00,0.85,9036
"polymorphism",0.08,0.00,0.08,9744,0.07,0.00,0.08,9744,0.08,0.00,0.08,9744
"preempt",2.10,0.02,2.13,12148,2.10,0.02,2.13,12148,2.09,0.03,2.13,12148
"prodcons",1.49,0.04,1.53,17504,1.50,0.03,1.53,17504,1.52,0.01,1.53,17504
"quickSort",1.88,0.01,1.89,12204,1.88,0.01,1.89,12204,1.82,0.02,1.85,12204
"quoted_keyword",0.08,0.00,0.08,11304,0.08,0.00,0.08,11304,0.08,0.00,0.08,11304
"random",0.58,0.00,0.58,11116,0.57,0.01,0.58,11116,0.56,0.02,0.58,11116
"rational",2.96,0.01,2.98,26268,2.98,0.00,2.98,26268,2.97,0.00,2.98,26268
"recurse",1.88,0.04,1.93,11284,1.90,0.03,1.94,11284,1.89,0.03,1.92,11284
"references",0.06,0.00,0.06,5624,0.06,0.00,0.06,5624,0.05,0.00,0.06,5624
"result",0.06,0.00,0.06,5676,0.06,0.00,0.06,5676,0.06,0.00,0.06,5676
"runningTotal",0.88,0.01,0.89,33072,0.88,0.02,0.90,33072,0.88,0.01,0.89,33072
"searchsort",1.43,0.04,1.47,52760,1.44,0.02,1.47,52760,1.44,0.03,1.47,52760
"self-assignment",0.04,0.00,0.04,5588,0.04,0.00,0.04,5588,0.04,0.00,0.04,5588
"shortCircuit",0.08,0.00,0.09,9300,0.08,0.00,0.09,9300,0.08,0.00,0.09,9300
"simpleGenericTriple",0.04,0.00,0.05,5604,0.04,0.00,0.05,5604,0.04,0.00,0.05,5604
"statement",2.20,0.03,2.24,20088,2.18,0.04,2.24,20088,2.20,0.03,2.24,20088
"stdincludes",2.21,0.05,2.27,10140,2.18,0.07,2.26,10104,2.21,0.05,2.27,10120
"sum",0.89,0.01,0.90,29664,0.90,0.01,0.91,29664,0.89,0.02,0.91,29664
"swap",2.03,0.04,2.08,78528,1.99,0.06,2.05,78528,1.97,0.07,2.05,78528
"switch",0.04,0.00,0.04,5576,0.04,0.00,0.04,5576,0.04,0.00,0.04,5576
"sync",0.23,0.00,0.23,5576,0.23,0.00,0.23,5576,0.24,0.00,0.24,5576
"thread",1.79,0.02,1.81,13900,1.77,0.04,1.82,13900,1.79,0.02,1.81,13900
"time",0.54,0.04,0.59,56312,0.55,0.03,0.59,56312,0.55,0.03,0.59,56312
"tupleAssign",0.38,0.02,0.40,49000,0.39,0.01,0.40,49000,0.37,0.03,0.40,49000
"tupleCast",0.04,0.00,0.04,5576,0.03,0.00,0.04,5576,0.03,0.00,0.04,5576
"tupleFunction",0.04,0.00,0.04,5588,0.04,0.00,0.04,5588,0.04,0.00,0.04,5588
"tupleMember",0.04,0.00,0.04,5608,0.04,0.00,0.04,5608,0.04,0.00,0.04,5608
"tupleVariadic",0.29,0.00,0.30,7152,0.30,0.00,0.30,7152,0.30,0.00,0.31,7152
"typedefRedef",0.03,0.00,0.03,5576,0.04,0.00,0.04,5576,0.04,0.00,0.04,5576
"typeof",0.03,0.00,0.03,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"user_literals",0.20,0.00,0.21,11700,0.20,0.00,0.21,11700,0.20,0.00,0.21,11700
"variableDeclarator",0.04,0.00,0.04,5712,0.04,0.00,0.04,5712,0.04,0.00,0.04,5712
"vector",0.48,0.01,0.49,15380,0.47,0.01,0.49,15380,0.48,0.00,0.49,15380
"voidPtr",0.04,0.00,0.04,5576,0.03,0.00,0.03,5576,0.03,0.00,0.03,5576
"wait",2.36,0.08,2.44,12968,2.39,0.04,2.44,12968,2.37,0.06,2.44,12968
"when",1.93,0.02,1.96,13556,1.91,0.04,1.96,13556,1.92,0.03,1.96,13556
"with-statement",0.04,0.00,0.04,5636,0.04,0.00,0.04,5636,0.04,0.00,0.04,5636
